Getting page data for washingtonpost
6181619439_225448834239865 has 55 number of comments
6181619439_226304714152774 has 9 number of comments
6181619439_140135789444056 has 14 number of comments
6181619439_375703765819370 has 7 number of comments
6181619439_115349071936422 has 14 number of comments
6181619439_363407073721772 has 3 number of comments
6181619439_368032509920487 has 7 number of comments
6181619439_360922853962509 has 14 number of comments
6181619439_228420510595001 has 197 number of comments
6181619439_307234032696363 has 80 number of comments
6181619439_272913542807668 has 11 number of comments
6181619439_444093678934677 has 27 number of comments
6181619439_393817287336195 has 31 number of comments
6181619439_140708449397604 has 5 number of comments
6181619439_181773921950306 has 39 number of comments
6181619439_220353524750045 has 95 number of comments
6181619439_385396164831713 has 197 number of comments
6181619439_364788436907651 has 16 number of comments
6181619439_468791196470013 has 37 number of comments
6181619439_159029287561327 has 238 number of comments
6181619439_110451752426555 has 1 number of comments
6181619439_10150851822299440 has 14 number of comments
6181619439_109936319145027 has 150 number of comments
6181619439_451711931522843 has 6 number of comments
number of queries is 350
6181619439_294316663991382 has 21 number of comments
6181619439_181532471972310 has 14 number of comments
6181619439_444164088944431 has 56 number of comments
6181619439_314939835253557 has 3 number of comments
6181619439_394312003943247 has 84 number of comments
6181619439_10150850235369440 has 2 number of comments
6181619439_460680273949053 has 5 number of comments
6181619439_10150849980784440 has 4 number of comments
6181619439_236650083114406 has 19 number of comments
6181619439_211025192350955 has 12 number of comments
6181619439_371969839518392 has 30 number of comments
6181619439_364145250315621 has 21 number of comments
6181619439_366421876738605 has 202 number of comments
6181619439_423032954384178 has 67 number of comments
6181619439_179186765541637 has 37 number of comments
6181619439_318191891588364 has 72 number of comments
6181619439_10150847452859440 has 5 number of comments
6181619439_409461249075641 has 66 number of comments
6181619439_159340634196172 has 37 number of comments
6181619439_281270668635658 has 224 number of comments
6181619439_302865776466827 has 50 number of comments
6181619439_294252650669098 has 24 number of comments
6181619439_385935454786225 has 24 number of comments
6181619439_233193106790424 has 14 number of comments
6181619439_295837170505680 has 28 number of comments
number of queries is 408
6181619439_408820842490836 has 39 number of comments
6181619439_382859881751573 has 20 number of comments
6181619439_235421313237462 has 53 number of comments
6181619439_408026329242054 has 1 number of comments
6181619439_460385407308904 has 15 number of comments
6181619439_148354068630268 has 151 number of comments
6181619439_252718741503029 has 47 number of comments
6181619439_371357696245332 has 12 number of comments
6181619439_10150842319549440 has 5 number of comments
6181619439_109186389219538 has 47 number of comments
6181619439_434561666556691 has 66 number of comments
6181619439_437273829617569 has 46 number of comments
6181619439_353563738032940 has 40 number of comments
6181619439_427083007316938 has 22 number of comments
6181619439_368794813177133 has 9 number of comments
6181619439_429204867103567 has 10 number of comments
6181619439_435629066447295 has 6 number of comments
6181619439_363616213687628 has 104 number of comments
6181619439_390166761025230 has 8 number of comments
6181619439_461485873867817 has 60 number of comments
6181619439_268586653238697 has 13 number of comments
6181619439_338563406213961 has 60 number of comments
number of queries is 460
6181619439_352834811436880 has 180 number of comments
6181619439_293570837404565 has 6 number of comments
6181619439_127434547391964 has 24 number of comments
6181619439_10150834724294440 has 10 number of comments
6181619439_232440166866088 has 87 number of comments
6181619439_431454116867409 has 16 number of comments
6181619439_208973415889567 has 78 number of comments
6181619439_344933848905231 has 88 number of comments
6181619439_231890803592062 has 106 number of comments
6181619439_210656039054069 has 145 number of comments
6181619439_229634443816641 has 1 number of comments
6181619439_457294914284819 has 25 number of comments
6181619439_309951292419643 has 65 number of comments
6181619439_231533980290803 has 287 number of comments
6181619439_315385538535532 has 17 number of comments
6181619439_269149663182679 has 34 number of comments
6181619439_410587288972535 has 90 number of comments
6181619439_310018679076241 has 68 number of comments
6181619439_416651505034535 has 34 number of comments
6181619439_361381290587946 has 32 number of comments
6181619439_145165215616038 has 5 number of comments
6181619439_411214202243535 has 107 number of comments
6181619439_10150829135109440 has 5 number of comments
number of queries is 531
6181619439_251156158324833 has 26 number of comments
6181619439_388873291150773 has 27 number of comments
6181619439_238116746294230 has 66 number of comments
6181619439_217262241725594 has 20 number of comments
6181619439_153956404736031 has 138 number of comments
6181619439_268719003226491 has 163 number of comments
6181619439_10150827110194440 has 42 number of comments
6181619439_415778061790056 has 11 number of comments
6181619439_398974076792035 has 8 number of comments
6181619439_10150826345239440 has 97 number of comments
6181619439_317334215009704 has 123 number of comments
6181619439_264379883659502 has 34 number of comments
6181619439_240300162736787 has 151 number of comments
6181619439_368649113193451 has 128 number of comments
6181619439_438715289474186 has 87 number of comments
6181619439_402703159770415 has 83 number of comments
6181619439_352314421488892 has 46 number of comments
6181619439_223665624402984 has 19 number of comments
6181619439_305418619539208 has 105 number of comments
6181619439_314551058620700 has 56 number of comments
6181619439_10150823829429440 has 6 number of comments
6181619439_10150823685144440 has 22 number of comments
6181619439_226678780780169 has 23 number of comments
6181619439_417000531667491 has 48 number of comments
number of queries is 606
6181619439_360593310666986 has 40 number of comments
6181619439_327862887282076 has 5 number of comments
6181619439_315969761812077 has 19 number of comments
6181619439_238550722911866 has 6 number of comments
6181619439_454386817910691 has 23 number of comments
6181619439_314082942001458 has 4 number of comments
6181619439_436235433072434 has 32 number of comments
6181619439_236513306450567 has 30 number of comments
6181619439_446540682028136 has 16 number of comments
6181619439_311618945581663 has 3 number of comments
6181619439_306574662751511 has 37 number of comments
6181619439_217237058393890 has 1 number of comments
6181619439_151766754953819 has 57 number of comments
6181619439_332726340130444 has 19 number of comments
6181619439_310612415685232 has 1 number of comments
6181619439_10150815951149440 has 33 number of comments
6181619439_235803346519519 has 11 number of comments
6181619439_408460229186673 has 35 number of comments
6181619439_309224309155284 has 34 number of comments
6181619439_292194154202992 has 14 number of comments
6181619439_301358953279723 has 328 number of comments
6181619439_463263067022765 has 11 number of comments
number of queries is 43
6181619439_335312559867461 has 70 number of comments
6181619439_293137107440325 has 3 number of comments
6181619439_421967454489173 has 37 number of comments
6181619439_10150813316399440 has 79 number of comments
6181619439_390356357669698 has 213 number of comments
6181619439_310758602333096 has 234 number of comments
6181619439_151744391622514 has 92 number of comments
6181619439_310529885692031 has 4 number of comments
6181619439_453021071391269 has 19 number of comments
6181619439_210604769059419 has 35 number of comments
6181619439_248276648613470 has 203 number of comments
6181619439_337630719637279 has 2 number of comments
6181619439_10150806077924440 has 2 number of comments
6181619439_448043175209046 has 24 number of comments
6181619439_244385765668467 has 29 number of comments
6181619439_329709767102258 has 415 number of comments
6181619439_288517071240816 has 10 number of comments
6181619439_219206348191654 has 6 number of comments
6181619439_10150791930839440 has 2 number of comments
6181619439_403565823017691 has 25 number of comments
6181619439_354538757939282 has 32 number of comments
6181619439_224694737641031 has 2 number of comments
6181619439_134462700010825 has 49 number of comments
6181619439_10150788581524440 has 5 number of comments
number of queries is 103
6181619439_379617295424272 has 68 number of comments
6181619439_370364443011453 has 72 number of comments
6181619439_342256849175059 has 29 number of comments
6181619439_276883909073449 has 104 number of comments
6181619439_352043444858517 has 60 number of comments
6181619439_264799656952255 has 19 number of comments
6181619439_269547776474644 has 57 number of comments
6181619439_404402036258812 has 55 number of comments
6181619439_10150778045139440 has 28 number of comments
6181619439_430906150270352 has 19 number of comments
6181619439_377878705581299 has 24 number of comments
6181619439_292005014219813 has 17 number of comments
6181619439_408205505878499 has 17 number of comments
6181619439_327704407303287 has 4 number of comments
6181619439_448145961866057 has 55 number of comments
6181619439_348965075171220 has 37 number of comments
6181619439_303812733033442 has 19 number of comments
6181619439_301067873305869 has 16 number of comments
6181619439_384187454957128 has 23 number of comments
6181619439_260399200724705 has 9 number of comments
6181619439_375822885788366 has 16 number of comments
6181619439_327754503959570 has 2 number of comments
6181619439_225414040904652 has 27 number of comments
number of queries is 152
6181619439_226250814154348 has 437 number of comments
6181619439_219137298188670 has 42 number of comments
6181619439_291541374267225 has 5 number of comments
6181619439_10150748257584440 has 18 number of comments
6181619439_269205693174916 has 20 number of comments
6181619439_290566337698950 has 164 number of comments
6181619439_347029025359865 has 165 number of comments
6181619439_358467180868220 has 11 number of comments
6181619439_164998363629751 has 81 number of comments
6181619439_305496022861642 has 31 number of comments
6181619439_353666264696690 has 10 number of comments
6181619439_243642999075895 has 126 number of comments
6181619439_207570056028682 has 22 number of comments
6181619439_424506094229308 has 202 number of comments
6181619439_222666327846120 has 46 number of comments
6181619439_426133694065246 has 20 number of comments
6181619439_164044810390283 has 10 number of comments
6181619439_103505296452820 has 58 number of comments
6181619439_281567941932934 has 5 number of comments
6181619439_165569160237083 has 17 number of comments
number of queries is 205
6181619439_10150732075354440 has 5 number of comments
6181619439_449066645108037 has 208 number of comments
6181619439_292210547533803 has 29 number of comments
6181619439_280237045401097 has 18 number of comments
6181619439_224152494360701 has 67 number of comments
6181619439_145317762265820 has 215 number of comments
6181619439_265846663511311 has 42 number of comments
6181619439_319152921489678 has 7 number of comments
6181619439_102542659882420 has 2 number of comments
6181619439_10150728328744440 has 90 number of comments
6181619439_279261105500107 has 53 number of comments
6181619439_342668465788631 has 8 number of comments
6181619439_317238121681880 has 98 number of comments
6181619439_221067248007772 has 18 number of comments
6181619439_346419748750541 has 59 number of comments
6181619439_239404432833514 has 9 number of comments
6181619439_398015700230412 has 2 number of comments
6181619439_10150725942224440 has 13 number of comments
6181619439_277524132340659 has 40 number of comments
6181619439_296748763741688 has 67 number of comments
6181619439_401178033237280 has 17 number of comments
6181619439_323138154424645 has 32 number of comments
6181619439_293493930739176 has 16 number of comments
6181619439_217440695038114 has 11 number of comments
number of queries is 264
6181619439_323728684362127 has 50 number of comments
6181619439_254761081287761 has 9 number of comments
6181619439_163222427138138 has 62 number of comments
6181619439_410918438932122 has 26 number of comments
6181619439_178911368897742 has 18 number of comments
6181619439_374614925918408 has 5 number of comments
6181619439_10150721301109440 has 18 number of comments
6181619439_226101510832490 has 4 number of comments
6181619439_217803114997256 has 3 number of comments
6181619439_409347449090099 has 40 number of comments
6181619439_205997532851608 has 12 number of comments
6181619439_398110416889555 has 7 number of comments
6181619439_368493229854568 has 48 number of comments
6181619439_376594689048217 has 10 number of comments
6181619439_159885304138968 has 107 number of comments
6181619439_10150718897679440 has 33 number of comments
6181619439_322868117785869 has 5 number of comments
6181619439_294264740655978 has 45 number of comments
6181619439_295716180509277 has 119 number of comments
6181619439_202864059833352 has 59 number of comments
6181619439_142223109240917 has 10 number of comments
6181619439_422344961127418 has 62 number of comments
6181619439_302134446533475 has 23 number of comments
number of queries is 315
6181619439_277767625649310 has 115 number of comments
6181619439_142775445847568 has 10 number of comments
6181619439_370393416330736 has 4 number of comments
6181619439_343344155718947 has 98 number of comments
6181619439_238807529560247 has 34 number of comments
6181619439_440749252618192 has 25 number of comments
6181619439_366833636701666 has 56 number of comments
6181619439_407789235917968 has 32 number of comments
6181619439_10150714376729440 has 19 number of comments
6181619439_160686780725455 has 14 number of comments
6181619439_10150714004799440 has 4 number of comments
6181619439_411278868891789 has 29 number of comments
6181619439_217045571739170 has 30 number of comments
6181619439_358286520883975 has 107 number of comments
6181619439_159413747520069 has 52 number of comments
6181619439_341738969212579 has 4 number of comments
6181619439_158409404287653 has 30 number of comments
6181619439_353507534696595 has 6 number of comments
6181619439_367951933250573 has 18 number of comments
6181619439_348882608494345 has 34 number of comments
6181619439_352556391458399 has 147 number of comments
6181619439_277468769009014 has 7 number of comments
6181619439_419471904730230 has 20 number of comments
number of queries is 371
6181619439_359222477471699 has 10 number of comments
6181619439_116213811846121 has 22 number of comments
6181619439_263016820460101 has 50 number of comments
6181619439_418381624857546 has 71 number of comments
6181619439_417458418282079 has 34 number of comments
6181619439_420283591317610 has 2 number of comments
6181619439_127916680675603 has 7 number of comments
6181619439_10150709307459440 has 4 number of comments
6181619439_419166884760479 has 1 number of comments
6181619439_210877122358030 has 97 number of comments
6181619439_128951397229128 has 58 number of comments
6181619439_217636081683528 has 70 number of comments
6181619439_284397434979700 has 2 number of comments
6181619439_128594290597981 has 58 number of comments
6181619439_339881486075998 has 3 number of comments
6181619439_226485427453730 has 14 number of comments
6181619439_126224450844725 has 5 number of comments
6181619439_218770691565913 has 7 number of comments
6181619439_278616448891513 has 1 number of comments
6181619439_227573600676739 has 6 number of comments
6181619439_273736876051359 has 7 number of comments
6181619439_225151197591098 has 204 number of comments
6181619439_224162621022223 has 52 number of comments
6181619439_408548142496382 has 16 number of comments
number of queries is 422
6181619439_282933528458848 has 25 number of comments
6181619439_366808213369793 has 23 number of comments
6181619439_314304005306165 has 61 number of comments
6181619439_315736005165773 has 4 number of comments
6181619439_237284809712830 has 40 number of comments
6181619439_367906036584259 has 42 number of comments
6181619439_371519322891253 has 106 number of comments
6181619439_137168033080120 has 124 number of comments
6181619439_374490309260364 has 67 number of comments
6181619439_406636992689132 has 79 number of comments
6181619439_193623954090108 has 209 number of comments
6181619439_360597737319232 has 25 number of comments
6181619439_10150696056369440 has 4 number of comments
6181619439_332541286801363 has 23 number of comments
6181619439_200589816725799 has 251 number of comments
6181619439_154277218033327 has 33 number of comments
6181619439_343360459058938 has 71 number of comments
6181619439_408380279172425 has 35 number of comments
6181619439_111145735686243 has 76 number of comments
6181619439_10150692172969440 has 30 number of comments
6181619439_110832459051828 has 64 number of comments
6181619439_417017718310208 has 10 number of comments
6181619439_286906488059196 has 18 number of comments
6181619439_331270320270710 has 8 number of comments
number of queries is 492
6181619439_207154456067111 has 52 number of comments
6181619439_291576134254395 has 18 number of comments
6181619439_331981340190758 has 26 number of comments
6181619439_393651527333918 has 27 number of comments
6181619439_246553562109063 has 153 number of comments
6181619439_10150689787604440 has 4 number of comments
6181619439_362222377163281 has 19 number of comments
6181619439_218913108224103 has 23 number of comments
6181619439_122837867847945 has 29 number of comments
6181619439_348068161907379 has 156 number of comments
6181619439_206503579465247 has 13 number of comments
6181619439_314059325331194 has 18 number of comments
6181619439_365745743477748 has 20 number of comments
6181619439_10150687582014440 has 9 number of comments
6181619439_390059441028801 has 198 number of comments
6181619439_360852597299645 has 291 number of comments
6181619439_336501953079985 has 4 number of comments
6181619439_291434360932601 has 149 number of comments
6181619439_218567051583205 has 24 number of comments
6181619439_289766454436182 has 2 number of comments
6181619439_281403538611407 has 13 number of comments
6181619439_342465255814769 has 27 number of comments
6181619439_340128822714038 has 19 number of comments
6181619439_307869479281827 has 8 number of comments
number of queries is 547
6181619439_151332724995664 has 305 number of comments
6181619439_297833146961049 has 16 number of comments
6181619439_106102519523833 has 2 number of comments
6181619439_281937035225007 has 29 number of comments
6181619439_220912951347769 has 10 number of comments
6181619439_361919507187840 has 17 number of comments
6181619439_357200040983975 has 41 number of comments
6181619439_204604349651694 has 13 number of comments
6181619439_274219619333642 has 127 number of comments
6181619439_315075518561980 has 30 number of comments
6181619439_211894162259340 has 83 number of comments
6181619439_280984531985571 has 15 number of comments
6181619439_204694966309196 has 71 number of comments
6181619439_293807934028278 has 60 number of comments
6181619439_10150681205769440 has 49 number of comments
6181619439_407067032639548 has 154 number of comments
6181619439_211312538982339 has 36 number of comments
6181619439_386082254757998 has 77 number of comments
6181619439_382848625088750 has 28 number of comments
6181619439_287788247966763 has 23 number of comments
6181619439_209595395820408 has 26 number of comments
6181619439_245793052184884 has 146 number of comments
6181619439_341088392607343 has 4 number of comments
6181619439_218400914928388 has 7 number of comments
number of queries is 615
6181619439_217904371647878 has 36 number of comments
6181619439_252564841507100 has 86 number of comments
6181619439_277689452317362 has 36 number of comments
6181619439_422504097776085 has 15 number of comments
6181619439_152529874872524 has 87 number of comments
6181619439_242866315810812 has 66 number of comments
6181619439_383010045053441 has 101 number of comments
6181619439_434328959917350 has 178 number of comments
6181619439_10150677264644440 has 4 number of comments
6181619439_148549735272438 has 12 number of comments
6181619439_335096009888579 has 5 number of comments
6181619439_407660249262873 has 36 number of comments
6181619439_273650606054720 has 8 number of comments
6181619439_264080870351248 has 11 number of comments
6181619439_310648282339095 has 32 number of comments
6181619439_165287143594409 has 112 number of comments
6181619439_389827074371544 has 24 number of comments
6181619439_373198916057750 has 69 number of comments
6181619439_10150675310744440 has 81 number of comments
6181619439_10150674962684440 has 37 number of comments
6181619439_335738716490281 has 28 number of comments
6181619439_362317293810578 has 15 number of comments
6181619439_423098307716337 has 24 number of comments
number of queries is 66
6181619439_223942837713964 has 59 number of comments
6181619439_355978714448886 has 17 number of comments
6181619439_204085006368528 has 12 number of comments
6181619439_274703165948662 has 8 number of comments
6181619439_356190484417614 has 64 number of comments
6181619439_147474328714912 has 19 number of comments
6181619439_10150672641649440 has 6 number of comments
6181619439_327520060644521 has 1 number of comments
6181619439_287242508017176 has 54 number of comments
6181619439_270543053033531 has 112 number of comments
6181619439_202347699877238 has 15 number of comments
6181619439_262025730557720 has 25 number of comments
6181619439_208228659287576 has 21 number of comments
6181619439_380342831997029 has 13 number of comments
6181619439_210218505754031 has 29 number of comments
6181619439_203198916461139 has 9 number of comments
6181619439_178886235564950 has 27 number of comments
6181619439_203572363090365 has 27 number of comments
6181619439_327699363959707 has 9 number of comments
6181619439_384035821631273 has 16 number of comments
6181619439_10150668494524440 has 70 number of comments
6181619439_341852632539825 has 67 number of comments
6181619439_202576669857093 has 56 number of comments
6181619439_426346577378863 has 81 number of comments
number of queries is 122
6181619439_335468479843060 has 9 number of comments
6181619439_214733161960900 has 22 number of comments
6181619439_392813524070563 has 19 number of comments
6181619439_360020527370375 has 37 number of comments
6181619439_100428653424706 has 164 number of comments
6181619439_333829693341887 has 149 number of comments
6181619439_399343493417110 has 13 number of comments
6181619439_127595847370706 has 75 number of comments
6181619439_318721548193562 has 88 number of comments
6181619439_366124793432887 has 10 number of comments
6181619439_364740646909620 has 27 number of comments
6181619439_380020732018057 has 38 number of comments
6181619439_10150664076264440 has 4 number of comments
6181619439_326990547362022 has 186 number of comments
6181619439_111727345627763 has 89 number of comments
6181619439_380271738672009 has 29 number of comments
6181619439_191693117614174 has 190 number of comments
6181619439_310408862360026 has 40 number of comments
6181619439_276221015792723 has 55 number of comments
6181619439_111344515665489 has 7 number of comments
6181619439_10150662287004440 has 80 number of comments
6181619439_216790071767966 has 34 number of comments
6181619439_10150661910929440 has 130 number of comments
6181619439_239567932808079 has 87 number of comments
number of queries is 201
6181619439_197691763679727 has 29 number of comments
6181619439_239154379516998 has 55 number of comments
6181619439_240593069371440 has 55 number of comments
6181619439_10150660356069440 has 12 number of comments
6181619439_260572160700171 has 118 number of comments
6181619439_402572399754916 has 15 number of comments
6181619439_198763740239870 has 88 number of comments
6181619439_10150659504744440 has 9 number of comments
6181619439_405980662765469 has 18 number of comments
6181619439_329089143816931 has 83 number of comments
6181619439_358119180897354 has 54 number of comments
6181619439_325272824205535 has 43 number of comments
6181619439_389721077719665 has 52 number of comments
6181619439_396830947002125 has 53 number of comments
6181619439_358850437490305 has 71 number of comments
6181619439_258031010955455 has 33 number of comments
6181619439_10150657868069440 has 7 number of comments
6181619439_278369082241991 has 69 number of comments
6181619439_10150657560269440 has 12 number of comments
6181619439_385414334815292 has 54 number of comments
6181619439_380873748599524 has 52 number of comments
6181619439_352834994754066 has 15 number of comments
6181619439_357480994294353 has 5 number of comments
6181619439_417573554936236 has 102 number of comments
number of queries is 273
6181619439_143038442491051 has 39 number of comments
6181619439_143538279105933 has 14 number of comments
6181619439_202612896517985 has 82 number of comments
6181619439_267243693359642 has 16 number of comments
6181619439_330157697045272 has 30 number of comments
6181619439_349259231778175 has 369 number of comments
6181619439_200740856695722 has 38 number of comments
6181619439_281723005238742 has 39 number of comments
6181619439_336770669705733 has 11 number of comments
6181619439_107742596025974 has 56 number of comments
6181619439_406737442687455 has 14 number of comments
6181619439_416999131647905 has 127 number of comments
6181619439_212819075486801 has 9 number of comments
6181619439_404271349584490 has 9 number of comments
6181619439_320671954654451 has 93 number of comments
6181619439_239282122837095 has 107 number of comments
6181619439_122313944566782 has 18 number of comments
6181619439_326484850746928 has 20 number of comments
6181619439_212876942150767 has 116 number of comments
6181619439_358057557572504 has 12 number of comments
6181619439_353106624740547 has 2 number of comments
6181619439_407199235975726 has 63 number of comments
6181619439_276798592401130 has 11 number of comments
number of queries is 335
6181619439_351670218201748 has 72 number of comments
6181619439_399248723436106 has 140 number of comments
6181619439_10150649958474440 has 3 number of comments
6181619439_246372552125647 has 180 number of comments
6181619439_423376654342990 has 19 number of comments
6181619439_140171082777667 has 36 number of comments
6181619439_386891558002586 has 32 number of comments
6181619439_377020712329473 has 35 number of comments
6181619439_276305379114921 has 62 number of comments
6181619439_119762778147725 has 7 number of comments
6181619439_351677338200625 has 70 number of comments
6181619439_391063134244883 has 75 number of comments
6181619439_105316756268607 has 23 number of comments
6181619439_400841189944706 has 281 number of comments
6181619439_352698808109165 has 29 number of comments
6181619439_329916927061872 has 17 number of comments
6181619439_377454855609114 has 143 number of comments
6181619439_355865997784814 has 85 number of comments
6181619439_271204602961470 has 47 number of comments
6181619439_313086602090156 has 10 number of comments
6181619439_396624910348215 has 10 number of comments
6181619439_139201056209332 has 33 number of comments
6181619439_192142257564183 has 89 number of comments
6181619439_254704144622705 has 8 number of comments
6181619439_10150646198749440 has 3 number of comments
number of queries is 409
6181619439_104888582976554 has 25 number of comments
6181619439_119434648180194 has 15 number of comments
6181619439_258723290886168 has 34 number of comments
6181619439_170174893103770 has 53 number of comments
6181619439_185754211541330 has 23 number of comments
6181619439_232438166853969 has 39 number of comments
6181619439_349141108469916 has 56 number of comments
6181619439_253706738056363 has 105 number of comments
6181619439_270150286400248 has 270 number of comments
6181619439_422993407715953 has 605 number of comments
6181619439_253503088077951 has 14 number of comments
6181619439_10150644132059440 has 39 number of comments
6181619439_346846472017589 has 361 number of comments
6181619439_255872761172643 has 140 number of comments
6181619439_200222886757604 has 181 number of comments
6181619439_356418947733465 has 401 number of comments
6181619439_170286493092099 has 80 number of comments
6181619439_260687340684884 has 3 number of comments
6181619439_10150642438349440 has 8 number of comments
6181619439_126419327482825 has 53 number of comments
6181619439_155251587930607 has 72 number of comments
6181619439_196904440412255 has 4 number of comments
6181619439_353318041377249 has 50 number of comments
6181619439_396875596990375 has 42 number of comments
number of queries is 488
6181619439_179843828801859 has 15 number of comments
6181619439_296723577064046 has 365 number of comments
6181619439_370415332992261 has 29 number of comments
6181619439_265280076891313 has 279 number of comments
6181619439_412481692099625 has 9 number of comments
6181619439_389918124360199 has 58 number of comments
6181619439_369974106376605 has 63 number of comments
6181619439_412671848759526 has 19 number of comments
6181619439_347507315294836 has 149 number of comments
6181619439_384239184927210 has 51 number of comments
6181619439_252893404804735 has 42 number of comments
6181619439_241227055974368 has 20 number of comments
6181619439_101549863311285 has 249 number of comments
6181619439_363995746977817 has 532 number of comments
6181619439_275353705874282 has 18 number of comments
6181619439_353676991340873 has 82 number of comments
6181619439_254422744652587 has 155 number of comments
6181619439_10150636689024440 has 3 number of comments
6181619439_118171064973859 has 82 number of comments
6181619439_195836433863796 has 63 number of comments
6181619439_310118535722170 has 454 number of comments
6181619439_212155108892600 has 105 number of comments
6181619439_10150635465544440 has 41 number of comments
6181619439_137757736350549 has 103 number of comments
number of queries is 573
6181619439_320103478044553 has 895 number of comments
6181619439_137365839723762 has 69 number of comments
6181619439_10150634494324440 has 131 number of comments
6181619439_317641864963227 has 48 number of comments
6181619439_294036590666284 has 8 number of comments
6181619439_261854053903740 has 44 number of comments
6181619439_190736271040376 has 482 number of comments
6181619439_230726150359911 has 106 number of comments
6181619439_319782484743034 has 29 number of comments
6181619439_326620134054574 has 230 number of comments
6181619439_10150632870454440 has 2 number of comments
6181619439_204410362997297 has 285 number of comments
6181619439_208365085932172 has 468 number of comments
6181619439_203406293098042 has 36 number of comments
6181619439_262514000499952 has 33 number of comments
6181619439_209543785813587 has 512 number of comments
6181619439_327044814009466 has 50 number of comments
6181619439_257486477673760 has 174 number of comments
6181619439_138740859585335 has 1018 number of comments
6181619439_367322333307723 has 1389 number of comments
6181619439_324387124285251 has 9 number of comments
6181619439_10150630504574440 has 3 number of comments
number of queries is 655
6181619439_100113483454776 has 84 number of comments
6181619439_396966106998002 has 257 number of comments
6181619439_288618944544455 has 19 number of comments
6181619439_249912905103444 has 7 number of comments
6181619439_274126699329589 has 342 number of comments
6181619439_387944847890203 has 73 number of comments
6181619439_252303361526838 has 40 number of comments
6181619439_299546100110826 has 23 number of comments
6181619439_236904026404792 has 36 number of comments
6181619439_379909652033526 has 4 number of comments
6181619439_274571445952435 has 39 number of comments
6181619439_342937215743171 has 4 number of comments
6181619439_274931935916407 has 53 number of comments
6181619439_296055000462415 has 184 number of comments
6181619439_322078044516704 has 3 number of comments
6181619439_372954682738249 has 295 number of comments
6181619439_335010643213562 has 74 number of comments
6181619439_10150624815369440 has 1 number of comments
6181619439_10150624582354440 has 11 number of comments
6181619439_239127222850263 has 266 number of comments
6181619439_10150624301519440 has 50 number of comments
6181619439_163217127131610 has 57 number of comments
6181619439_230975617001784 has 20 number of comments
6181619439_235319569898389 has 92 number of comments
number of queries is 72
6181619439_313001218763269 has 118 number of comments
6181619439_316592001734488 has 89 number of comments
6181619439_348683455173655 has 68 number of comments
6181619439_10150622640284440 has 19 number of comments
6181619439_291762030895343 has 17 number of comments
6181619439_235774313184858 has 127 number of comments
6181619439_249211805170196 has 157 number of comments
6181619439_381216025231376 has 32 number of comments
6181619439_378539965504309 has 289 number of comments
6181619439_384599691564382 has 23 number of comments
6181619439_367494023283913 has 108 number of comments
6181619439_360406650660320 has 75 number of comments
6181619439_10150620266654440 has 3 number of comments
6181619439_289001491173115 has 41 number of comments
6181619439_115855321872153 has 215 number of comments
6181619439_201894759915984 has 63 number of comments
6181619439_338706682847549 has 324 number of comments
6181619439_371442766209567 has 149 number of comments
6181619439_267367470011774 has 46 number of comments
6181619439_148253771963660 has 160 number of comments
6181619439_400996386581035 has 35 number of comments
6181619439_207639032670070 has 227 number of comments
6181619439_10150618254094440 has 16 number of comments
6181619439_270935779648528 has 18 number of comments
6181619439_369512326404669 has 12 number of comments
number of queries is 159
6181619439_376727979017550 has 28 number of comments
6181619439_389805127716321 has 125 number of comments
6181619439_399609343383293 has 11 number of comments
6181619439_247089048714185 has 125 number of comments
6181619439_255486347872640 has 202 number of comments
6181619439_201201916651001 has 14 number of comments
6181619439_394860287209632 has 32 number of comments
6181619439_10150616318704440 has 51 number of comments
6181619439_270123449729034 has 327 number of comments
6181619439_376133325738672 has 21 number of comments
6181619439_172775376174378 has 76 number of comments
6181619439_379109402113622 has 39 number of comments
6181619439_129703830490233 has 27 number of comments
6181619439_313995245330983 has 3 number of comments
6181619439_270445366369342 has 410 number of comments
6181619439_288455071224942 has 80 number of comments
6181619439_188817461231376 has 16 number of comments
6181619439_204095576358626 has 28 number of comments
6181619439_127919360671111 has 39 number of comments
6181619439_309822509084124 has 53 number of comments
6181619439_127110787418625 has 21 number of comments
6181619439_169778133142141 has 12 number of comments
6181619439_344049085637641 has 115 number of comments
number of queries is 229
6181619439_403953802965151 has 77 number of comments
6181619439_146979038757464 has 85 number of comments
6181619439_268613826546949 has 196 number of comments
6181619439_128111480651888 has 43 number of comments
6181619439_349194898455969 has 226 number of comments
6181619439_356798591027244 has 328 number of comments
6181619439_269512259792347 has 23 number of comments
6181619439_267735076640337 has 17 number of comments
6181619439_321755861213937 has 505 number of comments
6181619439_364813150206151 has 46 number of comments
6181619439_202692879830687 has 29 number of comments
6181619439_348052308572358 has 41 number of comments
6181619439_403858572962335 has 99 number of comments
6181619439_341825145859001 has 13 number of comments
6181619439_380418351982855 has 97 number of comments
6181619439_104501939680375 has 38 number of comments
6181619439_10150608944674440 has 3 number of comments
6181619439_288946644509992 has 38 number of comments
6181619439_320164931366260 has 52 number of comments
6181619439_320717664653768 has 100 number of comments
6181619439_126013850861100 has 82 number of comments
6181619439_180373832078596 has 31 number of comments
6181619439_346807318695630 has 164 number of comments
6181619439_264796956931644 has 268 number of comments
number of queries is 318
6181619439_351320324906234 has 311 number of comments
6181619439_10150606879814440 has 15 number of comments
